i,x,y,PRECIP
235,-95.75649,33.09455,47.573406
236,-96.522255,32.959713,47.573406
237,-97.278,32.798775,47.573406
238,-98.017815,32.612988,47.573406
239,-98.7363,32.404827,47.573406
240,-99.42776,32.174297,47.573406
241,-100.08708,31.924507,47.573406
242,-100.70909,31.656696,47.573406
243,-101.28924,31.37273,47.573406
244,-101.82307,31.075092,47.573406
245,-102.30647,30.766893,47.573406
246,-102.735695,30.44813,47.573406
247,-103.10765,30.123774,47.573406
248,-103.4193,29.794447,47.573406
249,-103.66843,29.463877,47.573406
250,-103.85318,29.13455,47.573406
251,-103.97199,28.807709,47.573406
252,-104.023994,28.487082,47.573406
253,-104.008804,28.17391,47.573406
254,-103.92667,27.872545,47.573406
255,-103.778015,27.583609,47.573406
256,-103.5641,27.309584,47.573406
257,-103.28649,27.052958,47.573406
258,-102.94733,26.815594,47.573406
259,-102.54924,26.599356,47.573406
260,-102.095215,26.405489,47.573406
261,-101.5886,26.235855,47.573406
262,-101.03344,26.091074,47.573406
263,-100.43378,25.973015,47.573406
264,-99.79432,25.882294,47.573406
265,-99.1199,25.820156,47.573406
266,-98.41566,25.786602,47.573406
267,-97.68686,25.78101,47.573406
268,-96.93921,25.805244,47.573406
269,-96.17819,25.857439,47.573406
270,-95.40981,25.938217,47.573406
271,-94.63977,26.046335,47.573406
272,-93.874,26.181173,47.573406
273,-93.11826,26.342108,47.573406
274,-92.37844,26.527899,47.573406
275,-91.659966,26.736057,47.573406
276,-90.968506,26.966587,47.573406
277,-90.30918,27.216377,47.573406
278,-89.68707,27.483568,47.573406
279,-89.106926,27.767534,47.573406
280,-88.57319,28.065792,47.573406
281,-88.08978,28.373993,47.573406
282,-87.66057,28.692757,47.573406
283,-87.28861,29.01711,47.573406
284,-86.97687,29.345818,47.573406
285,-86.72774,29.676386,47.573406
286,-86.54308,30.006334,47.573406
287,-86.42427,30.333176,47.573406
288,-86.37227,30.653803,47.573406
289,-83.54259,31.416847,45.845135
290,-83.651306,31.815767,45.845135
291,-83.84801,32.198532,45.845135
292,-84.131,32.56079,45.845135
293,-84.49821,32.90068,45.845135
294,-84.94683,33.214474,45.845135
295,-85.47352,33.500927,45.845135
296,-86.0742,33.757553,45.845135
297,-86.74425,33.981247,45.845135
298,-87.47874,34.17263,45.845135
299,-88.27197,34.329216,45.845135
300,-89.11784,34.448517,45.845135
301,-90.01003,34.53116,45.845135
302,-90.94171,34.575897,45.845135
